,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
2438,3400 Landen,Apartment,120000,2.0,,Semi equipped,0.0,,,,,,,,4.0,,
2439,1081 Koekelberg,Studio,120000,,50.0,Semi equipped,0.0,,,,,,50.0,,,, To be done up
2440,6010 Charleroi,Apartment,120000,2.0,80.0,Semi equipped,0.0,,1.0,4.0,,,80.0,,2.0,0.0, Good
2441,8400 Oostende,Apartment,120000,1.0,38.0,Installed,1.0,,,,,,38.0,,2.0,, Good
2442,7110 La Louvire Houdeng-Goegnies,Mixed-use building,120000,5.0,177.0,Semi equipped,0.0,,1.0,20.0,,,177.0,260.0,2.0,0.0, To be done up
2443,7760 Celles,House,120000,3.0,153.0,Installed,,,,,,,153.0,120.0,3.0,, To renovate
2444,2000 Antwerp,Kot,120000,1.0,18.0,Installed,1.0,,,,,,18.0,,4.0,0.0, As new
2445,7700 Mouscron,Apartment,120000,2.0,100.0,,0.0,,,,,,100.0,,,,
2446,4520 Wanze,House,120000,2.0,90.0,,,,1.0,20.0,,,90.0,446.0,3.0,, To be done up
2447,5000 Namur,Studio,120000,,30.0,Installed,0.0,,,,,,30.0,,,, Good
2448,7500 Tournai,Apartment,120000,2.0,70.0,Not installed,,,,,,,70.0,,,, To renovate
2449,7380 Quivrain,House,120000,3.0,88.0,Semi equipped,0.0,,1.0,16.0,1.0,700.0,88.0,757.0,3.0,, To restore
2450,5530 Yvoir,Chalet,120000,1.0,62.0,Semi equipped,0.0,,,,,,62.0,494.0,4.0,, Just renovated
2451,7012 Jemappes,House,120000,2.0,,Installed,,,,,,,,240.0,2.0,, Good
2452,7860 Lessines,House,120000,2.0,125.0,Installed,,,,,,,125.0,250.0,2.0,, Good
2453,4040 Herstal,House,120000,1.0,,,0.0,,,,,,,397.0,,,
2454,4101 Seraing,House,120000,3.0,140.0,Installed,,,,,,,140.0,1332.0,2.0,, To be done up
2455,4820 Dison,House,120000,3.0,121.0,Installed,0.0,,,,,,121.0,69.0,3.0,,
2456,5060 Sambreville Falisolle,House,120000,2.0,101.0,Semi equipped,0.0,,,,,,101.0,320.0,3.0,0.0, To be done up
2457,7380 Quievrain,House,120000,2.0,130.0,Installed,0.0,,,,,,130.0,94.0,2.0,, As new
2458,7000 Mons,House,120000,4.0,147.0,,,,,,,,147.0,230.0,2.0,, To renovate
2459,4800 Verviers,Apartment,120000,2.0,,Installed,0.0,,1.0,1.0,,,,,3.0,0.0, As new
2460,9300 Aalst,Apartment,120000,1.0,65.0,Installed,0.0,,1.0,15.0,,,65.0,,2.0,, To be done up
2461,6010 Charleroi Couillet,House,120000,1.0,129.0,,0.0,,1.0,24.0,,,129.0,129.0,3.0,, To be done up
2462,7012 Jemappes,House,120000,2.0,,Not installed,0.0,,,,1.0,200.0,,250.0,2.0,, To renovate
2463,8770 Ingelmunster,Apartment,120000,2.0,85.0,Semi equipped,0.0,,1.0,6.0,,,85.0,,2.0,0.0, To be done up
2464,7390 Wasmuel,House,120000,3.0,148.0,Installed,,,,,,,148.0,370.0,2.0,,
2465,7500 Tournai,Apartment,120000,2.0,,,,,,,,,,,,, To be done up
2466,2000 Antwerp,Kot,120000,1.0,18.0,Installed,1.0,,1.0,15.0,,,18.0,,2.0,0.0, Good
2467,7170 FAYT-LEZ-MANAGE,House,120000,3.0,150.0,,0.0,,,,,,150.0,,2.0,,
2468,1020 Bruxelles,Apartment,120000,1.0,50.0,Semi equipped,0.0,,,,,,50.0,,,,
2469,4100 Seraing,House,120000,3.0,,,,,,,,,,210.0,2.0,, Good
2470,8420 De Haan,Apartment,120000,2.0,,,1.0,,,,,,,,,0.0,
2471,4102 OUGRE,House,120000,2.0,105.0,,0.0,,,,,,105.0,,,,
2472,5300 Andenne,House,120000,1.0,100.0,Installed,0.0,,1.0,30.0,1.0,500.0,100.0,573.0,3.0,, To renovate
2473,6030 Marchienne-au-Pont,House,120000,5.0,142.0,Installed,,,,,,,142.0,,2.0,, To be done up
2474,2140 Antwerpen Borgerhout,Ground floor,120000,1.0,73.0,,0.0,,,,,,73.0,,2.0,,
2475,7100 LA LOUVIRE,House,120000,2.0,130.0,,0.0,,,,,,130.0,,,,
2476,6030 Goutroux,Farmhouse,120000,3.0,190.0,,,,,,,,190.0,,4.0,, To renovate
2477,6220 Fleurus,Mixed-use building,120000,2.0,150.0,,0.0,,,,,,150.0,90.0,2.0,, To renovate
2478,6220 Fleurus,Mixed-use building,120000,2.0,150.0,,0.0,,,,,,150.0,90.0,2.0,, To renovate
2479,7134 Leval-Trahegnies,House,120000,3.0,,,,,,,,,,1250.0,3.0,, To renovate
2480,1050 Ixelles,Studio,120000,,23.0,,,,,,,,23.0,,,, Good
2481,3600 Genk,Apartment,120000,1.0,70.0,,0.0,,,,,,70.0,,2.0,,
2482,7134 Leval-Trahegnies,House,120000,2.0,138.0,,,,,,,,138.0,750.0,,,
2483,7033 Cuesmes,House,120000,3.0,129.0,Installed,0.0,,,,1.0,525.0,129.0,525.0,3.0,,
2484,5140 Ligny,House,120000,3.0,,,,,,,,,,510.0,2.0,,
2485,4000 Lige,Apartment,120000,2.0,,,,,,,,,,,,, To be done up
2486,7370 Dour,House,120000,3.0,,Installed,,,,,,,,439.0,3.0,,
2487,7536 Vaulx,House,120000,3.0,160.0,,0.0,,,,,,160.0,716.0,2.0,, To renovate
2488,1050 Ixelles,Studio,120000,,23.0,,,,,,,,23.0,,,, Good
2489,6590 Momignies,Mixed-use building,120000,,265.0,Installed,0.0,,,,,,265.0,620.0,2.0,,
2490,7950 Chivres,House,120000,3.0,,,,,,,,,,,,, To renovate
2491,6791 Athus,Apartment,120000,3.0,135.0,Not installed,0.0,,1.0,16.0,,,135.0,,2.0,,
2492,5660 Couvin,House,120000,4.0,110.0,Installed,0.0,,,,,,110.0,156.0,2.0,, Good
2493,6032 Mont-sur-Marchienne,House,120000,3.0,,,,,,,,,,286.0,2.0,,
2494,8930 Menen,House,120000,3.0,119.0,Semi equipped,0.0,,,,,,119.0,225.0,,, To renovate
2495,5060 Auvelais,Apartment,120000,1.0,,,,,,,,,,,,,
2496,4040 Herstal,House,120000,3.0,,,0.0,,,,,,,100.0,2.0,0.0,
2497,7700 Mouscron,House,120000,2.0,,,0.0,,,,,,,,,, To renovate
2498,9140 Temse,House,120000,1.0,,,,,,,,,,300.0,,, To renovate
2499,4520 Antheit,House,120000,2.0,,,,,,,,,,,3.0,, To renovate
2500,5550 Vresse-sur-Semois,House,120000,3.0,,,,,,,,,,578.0,3.0,,
2501,5640 PONTAURY,House,120000,1.0,,,0.0,,,,,,,1000.0,,,
2502,1480 Tubize,House,120000,3.0,165.0,,0.0,,1.0,45.0,,,165.0,70.0,2.0,, To renovate
2503,6000 Charleroi,Town-house,120000,2.0,,,,,,,,,,140.0,2.0,, To be done up
2504,7070 Le Roeulx,Apartment,120000,1.0,,,,,,,,,,,2.0,, Good
2505,5640 Biesmere,House,120000,3.0,,,,,,,,,,,,,
2506,5660 Petite-Chapelle,House,120000,2.0,,,,,,,,,,1396.0,,,
2507,1090 Jette,Studio,120000,,31.0,Installed,0.0,,,,,,31.0,,2.0,,
2508,7321 Blaton,House,120000,3.0,,,,,,,,,,,,,
2509,7340 Warquignies,House,120000,3.0,160.0,Installed,0.0,,1.0,20.0,,,160.0,1000.0,3.0,,
2510,7911 Frasnes-lez-Buissenal,House,120000,3.0,,,,,,,,,,,,,
2511,5590 Ciney,Apartment,120000,1.0,,Installed,,,,,,,,,,,
2512,4610 Beyne-Heusay,House,120000,1.0,,,,,,,,,,,,,
2513,5300 Andenne,House,120000,2.0,,,,,,,,,,,3.0,,
2514,6040 Jumet,Mixed-use building,120000,2.0,140.0,,,,,,,,140.0,,3.0,,
2515,6000 Charleroi,Apartment block,120000,2.0,,,,,,,,,,150.0,2.0,,
2516,7500 Tournai,House,120000,2.0,,,,,,,,,,,,,
2517,6560 Bersillies-lAbbaye,House,120000,2.0,81.0,Installed,0.0,,,,,,81.0,,2.0,,
2518,6590 Momignies,Apartment,120000,4.0,,,,,,,,,,,3.0,, To renovate
2519,6180 Courcelles,House,120000,3.0,,Installed,0.0,,,,1.0,370.0,,,,,
2520,7500 Tournai,House,120000,1.0,,,,,,,,,,76.0,,,
2521,7080 Frameries,House,120000,2.0,,,,,,,,,,250.0,2.0,, To restore
2522,8800 Roeselare,House,120000,1.0,,,,,,,,,,,,,
2523,6060 Gilly,House,120000,2.0,120.0,Not installed,0.0,,,,,,120.0,,,,
2524,7000 Mons,TROIS MATS,121000,,,,,,,,,,,,,,
2525,7330 SAINT-GHISLAIN,Apartment,121000,1.0,61.0,Semi equipped,0.0,,,,,,61.0,,4.0,, Good
2526,7700 Mouscron,Ground floor,121000,3.0,90.0,Semi equipped,0.0,,,,,,90.0,,3.0,0.0, Just renovated
2527,7700 Mouscron,Apartment,121000,,,,,,,,,,,,,,
2528,7000 Mons,VEM Mons - Phase 2,121000,,,,,,,,,,,,,,
2529,8930 Menen,House,121000,2.0,165.0,,0.0,,,,,,165.0,170.0,2.0,, To renovate
2530,2000 Antwerp,Kot,121000,1.0,18.0,USA installed,0.0,,,,,,18.0,,,, As new
2531,7700 Mouscron,Apartment,121000,2.0,80.0,Semi equipped,0.0,,,,,,80.0,,2.0,, Just renovated
2532,8760 Meulebeke,House,121500,2.0,,Installed,,,,,,,,90.0,,0.0, To renovate
2533,8870 Izegem,House,122000,4.0,196.0,Semi equipped,0.0,,,,,,196.0,115.0,,, To renovate
2534,2018 Antwerpen,Studio,122000,,,,1.0,,,,,,,,,0.0, As new
2535,1080 Molenbeek-Saint-Jean,Apartment,122000,1.0,55.0,,0.0,,,,,,55.0,,2.0,,
2536,4020 LIEGE,Apartment,122000,2.0,76.0,Not installed,,,,,,,76.0,,,, To renovate
2537,4300 Waremme,House,122000,2.0,82.0,,,,,,,,82.0,70.0,3.0,, To renovate
2538,5660 Bogny-Sur-Meuse France,Apartment,122000,3.0,116.0,,0.0,,,,,,116.0,,,,
2539,9990 Maldegem,Residentie Alex - comfortabele assistentiewoningen,122220,,,,,,,,,,,,,,
2540,9990 Maldegem,Service flat,122220,1.0,55.0,Installed,0.0,,,,,,55.0,,2.0,0.0, As new
2541,6031 Monceau-sur-Sambre,Apartment,122500,1.0,72.0,Installed,,,,,,,72.0,,3.0,, As new
2542,6031 Monceau-sur-Sambre,Ground floor,122500,1.0,72.0,Installed,,,,,,,72.0,,3.0,, As new
2543,2000 Antwerp,Apartment,122500,,26.0,,0.0,,,,,,26.0,,2.0,, Good
2544,7320 Bernissart,Exceptional property,122500,3.0,145.0,,0.0,,1.0,20.0,1.0,270.0,145.0,340.0,2.0,, As new
2545,7600 Peruwelz,House,122500,4.0,,,,,,,,,,353.0,2.0,,
2546,4430 Ans,Apartment,122500,2.0,75.0,Not installed,0.0,,,,,,75.0,,2.0,, Good
2547,6560 Grand-Reng,House,122500,3.0,104.0,Installed,0.0,,1.0,15.0,1.0,500.0,104.0,563.0,4.0,,
2548,2060 Antwerp,Kot,122900,1.0,22.0,,,,,,,,22.0,,,0.0,
2549,8660 De Panne,Apartment,122900,2.0,,,0.0,,,,,,,,,,
2550,2000 Antwerp,Kot,122950,1.0,21.0,,,,,,,,21.0,,,0.0,
2551,8430 Westende Middelkerke,Studio,123000,1.0,38.0,,1.0,,,,,,38.0,,2.0,0.0, Good
2552,4900 Spa,Apartment,123000,1.0,54.0,,0.0,,,,,,54.0,,,, Good
2553,4170 Comblainau-Pont,House,123000,2.0,86.0,,0.0,,,,,,86.0,272.0,2.0,, To renovate
2554,1982 ELEWIJT,House,123000,1.0,50.0,Semi equipped,0.0,,,,,,50.0,344.0,4.0,, Good
2555,3000 Leuven,Studio,123000,,16.0,,,,,,,,16.0,,,, As new
2556,6200 Chatelineau,Triplex,123000,3.0,110.0,,,,1.0,20.0,,,110.0,,3.0,, Good
2557,6200 Chatelineau,Town-house,123000,3.0,110.0,,,,1.0,20.0,,,110.0,,3.0,, Good
2558,9500 Moerbeke,Residentie t Hof,123456,,,,,,,,,,,,,,
2559,8900 Ieper,House,123456,3.0,152.0,Installed,0.0,,1.0,25.0,1.0,1.0,152.0,585.0,3.0,0.0, As new
2560,7301 Hornu,New real estate project - Apartments,123500,,,,,,,,,,,,,,
2561,4020 Liege,Apartment,124000,2.0,78.0,Installed,1.0,,1.0,9.0,,,78.0,,4.0,0.0, As new
2562,5060 Sambreville,ARIA RESIDENCES,124000,,,,,,,,,,,,,,
2563,4460 Grace-Hollogne,Apartment,124000,1.0,48.0,Installed,0.0,,,,1.0,830.0,48.0,,2.0,0.0, Good
2564,5500 Falmignoul,Apartment,124000,1.0,75.0,Installed,0.0,,,,,,75.0,,,, Good
2565,6180 Courcelles,House,124000,2.0,105.0,Semi equipped,0.0,,,,1.0,366.0,105.0,330.0,2.0,0.0, To be done up
2566,4100 SERAING,House,124000,2.0,96.0,,0.0,,,,,,96.0,118.0,2.0,, To be done up
2567,9950 Lievegem,Apartment,124000,1.0,61.0,Installed,0.0,,,,,,61.0,,,0.0, As new
2568,5000 Namur,Apartment,124000,1.0,52.0,Semi equipped,0.0,,,,,,52.0,,2.0,, To be done up
2569,2140 Borgerhout,Studio,124000,,52.0,Installed,0.0,,,,,,52.0,,2.0,, Good
2570,5500 Falmignoul,House,124000,1.0,75.0,Installed,0.0,,,,1.0,211.0,75.0,211.0,,, Good
2571,3440 Zoutleeuw,House,124000,3.0,,Installed,0.0,,,,,,,105.0,2.0,, To renovate
