,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
7284,6929 Daverdisse Haut-Fays,Apartment,160000,2.0,88.0,USA hyper equipped,0.0,,1.0,10.0,,,88.0,,4.0,, Just renovated
7285,1020 Brussels City,Studio,160000,,,,,,,,,,,,,, To renovate
7286,7033 Mons Cuesmes,House,160000,2.0,138.0,Installed,0.0,,,,,,138.0,826.0,3.0,,
7287,6200 Chtelet,House,160000,6.0,,Installed,,,,,,,,150.0,2.0,, To be done up
7288,7034 Mons ObourgSaint-Denis,Mixed-use building,160000,3.0,,,,,,,,,,,2.0,, Good
7289,7170 Manage,House,160000,2.0,85.0,USA hyper equipped,0.0,,,,1.0,150.0,85.0,,3.0,, Good
7290,9900 Eeklo,Apartment,160000,1.0,65.0,,0.0,,,,,,65.0,,2.0,,
7291,4520 Wanze,Rsidence Aurore Wanze,160000,,,,,,,,,,,,,,
7292,5600 Philippeville,Apartment block,160000,3.0,180.0,Semi equipped,0.0,,1.0,20.0,1.0,200.0,180.0,380.0,2.0,,
7293,5650 Fraire,House,160000,6.0,,,,,,,,,,,3.0,, To be done up
7294,9500 Onkerzele,House,160000,4.0,,,,,,,,,,1740.0,3.0,, To be done up
7295,6200 Chtelet,House,160000,4.0,203.0,Installed,0.0,,1.0,20.0,,,203.0,210.0,2.0,,
7296,5000 Namur,House,160000,4.0,,,,,,,,,,130.0,,,
7297,6180 Courcelles,House,160000,3.0,149.0,,,,,,,,149.0,,3.0,, To renovate
7298,5000 Namur,House,160000,7.0,,,,,,,,,,330.0,2.0,,
7299,1070 Anderlecht,Studio,160000,,55.0,,,,,,,,55.0,,,, As new
7300,6141 FontainelEvque Forchiesla-Marche,House,160000,3.0,,Semi equipped,0.0,,,,,,,,3.0,, Good
7301,1030 Schaerbeek,Apartment block,160000,4.0,,,,,,,,,,,,,
7302,6020 Dampremy,House,160000,2.0,,Installed,,,,,,,,,2.0,, Good
7303,7332 Saint-Ghislain,Villa,160000,2.0,145.0,,0.0,,,,1.0,300.0,145.0,360.0,3.0,,
7304,7332 Saint-Ghislain,Villa,160000,2.0,145.0,,0.0,,,,1.0,300.0,145.0,360.0,2.0,,
7305,1081 Koekelberg,Ground floor,160000,1.0,,,,,,,,,,,,,
7306,7370 Dour,House,160000,3.0,120.0,Installed,0.0,,,,,,120.0,220.0,3.0,,
7307,6001 Marcinelle,House,160000,3.0,,,,,,,,,,,,,
7308,8434 Westende,Apartment,160000,1.0,,,1.0,,,,,,,,,0.0,
7309,7030 Saint-Symphorien,2 Roi Baudouin,160000,,,,,,,,,,,,,,
7310,7340 Paturages,House,160000,3.0,,Installed,,,,,,,,,,,
7311,2050 Antwerp,Apartment,160000,1.0,55.0,Semi equipped,0.0,,,,,,55.0,,,, To be done up
7312,8530 Harelbeke,Blanckaert Harelbeke,160000,,,,,,,,,,,,,,
7313,4431 Loncin,House,160000,2.0,100.0,Semi equipped,0.0,,,,,,100.0,100.0,2.0,, Good
7314,4130 MRY,Apartment,160000,3.0,105.0,Not installed,0.0,,1.0,84.0,1.0,40.0,105.0,,3.0,, To renovate
7315,4431 Loncin,Duplex,160000,2.0,100.0,Semi equipped,0.0,,,,,,100.0,,2.0,, Good
7316,1180 Uccle,Studio,160000,,,Installed,0.0,,1.0,30.0,,,,,3.0,0.0, Good
7317,4430 Ans,Apartment,160000,3.0,,Semi equipped,0.0,,,,,,,,,, Good
7318,4960 Malmedy,House,160000,3.0,144.0,Installed,0.0,,1.0,13.0,,,144.0,90.0,2.0,0.0, Good
7319,4000 Lige,House,160000,2.0,116.0,Installed,0.0,,,,,,116.0,,2.0,, Good
7320,1070 Anderlecht,Apartment,160000,1.0,,Installed,0.0,,1.0,8.0,,,,,4.0,, Good
7321,1050 Ixelles,Studio,160000,,40.0,Installed,0.0,,,,,,40.0,,2.0,0.0, Good
7322,2100 Antwerpen,Duplex,160000,1.0,39.0,Installed,0.0,,,,,,39.0,,3.0,0.0, Just renovated
7323,7640 Antoing,Apartment,160000,2.0,83.0,Installed,0.0,,,,,,83.0,,2.0,, As new
7324,3560 Lummen,Apartment,160000,1.0,53.0,Installed,0.0,,,,,,53.0,,3.0,0.0, To renovate
7325,4900 Spa,House,160000,4.0,215.0,,0.0,,1.0,40.0,,,215.0,,2.0,, To renovate
7326,3590 Diepenbeek,Duplex,160000,1.0,65.0,Installed,0.0,,1.0,5.0,,,65.0,,2.0,0.0, As new
7327,7020 NIMY MONS,Apartment,160000,2.0,,Installed,,,,,,,,,,,
7328,1430 REBECQ,House,160000,3.0,150.0,Semi equipped,0.0,,1.0,40.0,,,150.0,40.0,2.0,, To renovate
7329,1600 Sint-Pieters-Leeuw,Apartment,160000,2.0,58.0,Installed,0.0,,,,,,58.0,,3.0,, To be done up
7330,7500 Tournai,Apartment,160000,1.0,52.0,Installed,,,,,,,52.0,,2.0,, Good
7331,7800 Ath,House,160000,2.0,120.0,Semi equipped,0.0,,,,,,120.0,120.0,1.0,0.0, Just renovated
7332,7340 Colfontaine,House,160000,3.0,178.0,Installed,0.0,,,,1.0,40.0,178.0,320.0,3.0,0.0, Good
7333,8800 Roeselare,House,160000,3.0,131.0,Installed,0.0,,,,1.0,145.0,131.0,221.0,2.0,, Good
